endTime,artistName,trackName,msPlayed,genre
2024-09-04 19:12,Imaginary Poet,Old Letter,151205,Classical
2024-09-04 19:14,Ophelia Wilde,Reflections,124502,Classical
2024-09-04 19:17,Adrien de la Salle,Prélude d'une nuit d'automne,160750,canada
2024-09-04 19:18,Lysander,Library Whispers,85344,instrumental
2024-09-04 19:21,Wallerstedt,Serenity,182780,
2024-09-04 19:23,Yehezkel Raz,Consolation No. 2 in A-flat Major,108906,ambient
2024-09-04 19:25,George Frideric Handel,"Suite No. 7 In G Minor, HWV 432: VI. Passacaglia",127477,classical
2024-09-04 19:30,Luke Faulkner,The Wanderer,278472,Classical
2024-09-04 19:31,Andrea Vanzo,Autumn Intro,102448,composer
2024-09-04 19:34,Lysander,Candlelight,125517,instrumental
2024-09-04 19:36,Alstad,Garden Waltz,130840,instrumental
2024-09-04 19:38,Edward Cross,the willow,139157,Classical
2024-09-04 19:40,Ophelia Wilde,dear edmond,137064,Classical
2024-09-04 19:43,Franz Gordon,The French Library,179702,piano
2024-09-04 19:44,Luke Faulkner,Awakening,43057,Classical
2024-09-04 19:49,Taylor Swift,Daylight,293453,country
2024-09-04 19:53,Billie Eilish,"What Was I Made For? [From The Motion Picture ""Barbie""]",222369,pop
2024-09-04 19:56,SZA,Saturn,186191,rnb
2024-09-04 19:59,Taylor Swift,illicit affairs,190898,country
2024-09-04 20:02,Olivia Rodrigo,Can’t Catch Me Now - from The Hunger Games: The Ballad of Songbirds & Snakes,205483,pop
2024-09-04 20:06,Taylor Swift,Anti-Hero,200690,country
2024-09-04 20:09,beabadoobee,the perfect pair,177533,bedroom pop
2024-09-04 20:12,Taylor Swift,London Boy,186989,country
2024-09-04 20:17,Claude Debussy,"Suite Bergamasque, L.75: 3.: Claire De Lune",305241,classical piano
2024-09-04 20:20,Imaginary Poet,Old Letter,151205,Classical
2024-09-04 20:22,Ophelia Wilde,Reflections,124502,Classical
2024-09-04 20:24,Adrien de la Salle,Prélude d'une nuit d'automne,160750,canada
2024-09-04 20:26,Lysander,Library Whispers,85344,instrumental
2024-09-04 20:29,Wallerstedt,Serenity,182780,
2024-09-04 20:31,Yehezkel Raz,Consolation No. 2 in A-flat Major,108906,ambient
2024-09-04 21:28,George Frideric Handel,"Suite No. 7 In G Minor, HWV 432: VI. Passacaglia",127477,classical
2024-09-04 21:32,Luke Faulkner,The Wanderer,243841,Classical
2024-09-04 21:32,Gwen Stefani,Luxurious,7410,pop
2024-09-04 21:36,Chase Atlantic,Friends,230010,rnb
2024-09-04 21:39,Beach Weather,"Sex, Drugs, Etc.",196784,indie
2024-09-04 21:43,The Neighbourhood,Nervous,245000,indie
2024-09-04 21:47,Chase Atlantic,Moonlight,252000,rnb
2024-09-04 21:48,Chase Atlantic,LUST,29655,rnb
2024-09-04 21:51,Taylor Swift,You Belong With Me,4370,country
2024-09-04 21:51,Cigarettes After Sex,Heavenly,169190,dream pop
2024-09-04 21:54,SZA,Saturn,186191,rnb
2024-09-04 21:57,Taylor Swift,illicit affairs,190898,country
2024-09-04 22:00,Taylor Swift,We Are Never Ever Getting Back Together,191880,country
2024-09-04 22:04,Ellie Goulding,My Blood,234184,female vocalists
2024-09-04 22:05,Laufey,Let You Break My Heart Again,73445,jazz
2024-09-04 22:11,Claude Debussy,"Suite Bergamasque, L.75: 3.: Claire De Lune",305241,classical piano
2024-09-04 22:13,Imaginary Poet,Old Letter,151205,Classical
2024-09-04 22:15,Ophelia Wilde,Reflections,124502,Classical
2024-09-04 22:18,Adrien de la Salle,Prélude d'une nuit d'automne,160750,canada
2024-09-04 22:19,Lysander,Library Whispers,85344,instrumental
2024-09-04 22:22,Wallerstedt,Serenity,182780,
2024-09-04 22:24,Yehezkel Raz,Consolation No. 2 in A-flat Major,108906,ambient
2024-09-04 22:26,George Frideric Handel,"Suite No. 7 In G Minor, HWV 432: VI. Passacaglia",127477,classical
2024-09-04 22:31,Luke Faulkner,The Wanderer,278472,Classical
2024-09-04 22:33,Andrea Vanzo,Autumn Intro,102448,composer
2024-09-04 22:35,Lysander,Candlelight,125517,instrumental
2024-09-04 22:37,Alstad,Garden Waltz,130840,instrumental
2024-09-04 22:39,Edward Cross,the willow,139157,Classical
2024-09-04 22:42,Ophelia Wilde,dear edmond,137064,Classical
2024-09-04 22:45,Franz Gordon,The French Library,179702,piano
2024-09-04 22:49,Tom Kristiaan,Les Secrets de la Soirée,27517,instrumental
2024-09-04 22:49,Luke Faulkner,Awakening,246070,Classical
2024-09-04 22:54,Taylor Swift,Back To December,293026,country
2024-09-04 22:57,Sabrina Carpenter,Feather,185552,pop
2024-09-04 23:01,Melanie Martinez,Dollhouse,231853,pop
2024-09-04 23:04,Charlie Puth,One Call Away,194453,soft pop
2024-09-04 23:07,Taylor Swift,Anti-Hero,138994,country
2024-09-04 23:09,beabadoobee,Glue Song,135066,bedroom pop
2024-09-04 23:12,Lana Del Rey,Doin' Time,202192,female vocalists
2024-09-05 00:04,Gwen Stefani,Luxurious,115560,pop
2024-09-05 15:52,Gwen Stefani,Luxurious,149613,pop
